Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble,44_obs_for_SMA
2021-01-01,DIVISLAB,EQ,3841.9,3839.0,3867.9,3817.85,3848.05,3849.05,3846.99,344329,132463180795000.0,21466,72125,0.2095,
2021-01-04,DIVISLAB,EQ,3849.05,3853.0,3914.95,3849.0,3863.8,3862.25,3875.41,578164,224062079875000.0,34130,157906,0.2731,
2021-01-05,DIVISLAB,EQ,3862.25,3858.25,3880.5,3804.05,3837.0,3842.1,3841.72,621125,238619037415000.0,42564,203299,0.3273,
2021-01-06,DIVISLAB,EQ,3842.1,3847.0,3889.3,3815.55,3883.5,3879.85,3863.18,486212,187832366800000.0,45629,130170,0.2677,
2021-01-07,DIVISLAB,EQ,3879.85,3890.0,3904.0,3791.0,3809.9,3803.05,3823.05,731225,279551333855000.03,74525,315133,0.43100000000000005,
2021-01-08,DIVISLAB,EQ,3803.05,3819.0,3868.7,3810.1,3856.0,3859.15,3846.72,594069,228521522505000.03,41071,265247,0.4465,
2021-01-11,DIVISLAB,EQ,3859.15,3884.9,3888.95,3805.5,3819.8,3822.4,3832.24,581207,222732760965000.0,44807,286622,0.49310000000000004,
2021-01-12,DIVISLAB,EQ,3822.4,3822.95,3831.85,3741.0,3765.0,3767.5,3766.79,758091,285557027850000.0,93845,346408,0.4569,
2021-01-13,DIVISLAB,EQ,3767.5,3788.5,3792.2,3675.75,3718.0,3719.4,3726.27,1142472,425715477405000.0,87326,580710,0.5083,
2021-01-14,DIVISLAB,EQ,3719.4,3738.4,3740.0,3684.0,3726.55,3724.7,3707.72,826368,306394303900000.0,58847,418226,0.5061,
2021-01-15,DIVISLAB,EQ,3724.7,3760.0,3762.8,3633.0,3644.0,3644.8,3683.37,1048279,386119696705000.0,82235,421787,0.40240000000000004,
2021-01-18,DIVISLAB,EQ,3644.8,3640.0,3659.0,3551.0,3559.35,3565.3,3593.43,952462,342260126915000.0,64553,470332,0.4938,
2021-01-19,DIVISLAB,EQ,3565.3,3576.0,3631.0,3555.2,3617.0,3599.45,3582.22,834021,298765033490000.0,51559,349622,0.4192,
2021-01-20,DIVISLAB,EQ,3599.45,3630.0,3666.1,3597.05,3610.0,3605.7,3632.17,730498,265329327919999.97,60144,246175,0.337,
2021-01-21,DIVISLAB,EQ,3605.7,3650.0,3650.0,3590.0,3615.0,3604.6,3618.85,706058,255511466355000.03,68885,374485,0.5304,
2021-01-22,DIVISLAB,EQ,3604.6,3604.6,3613.75,3530.0,3536.2,3544.7,3568.28,720287,257018585269999.97,63452,261755,0.36340000000000006,
2021-01-25,DIVISLAB,EQ,3544.7,3562.0,3589.4,3481.7,3582.0,3569.05,3532.08,926197,327140076960000.0,89355,367432,0.39670000000000005,
2021-01-27,DIVISLAB,EQ,3569.05,3594.9,3600.0,3469.9,3480.0,3483.05,3509.18,944951,331600145335000.0,103027,358538,0.37939999999999996,
2021-01-28,DIVISLAB,EQ,3483.05,3460.0,3496.7,3410.0,3410.35,3429.75,3448.8,717703,247521755260000.0,72595,256363,0.3572,
2021-01-29,DIVISLAB,EQ,3429.75,3450.0,3458.0,3360.1,3380.0,3369.85,3396.38,1015705,344972001675000.0,88049,552061,0.5435,
2021-02-01,DIVISLAB,EQ,3369.85,3418.0,3520.0,3311.4,3516.0,3463.6,3389.91,998291,338411180425000.0,94329,387394,0.38810000000000006,
2021-02-02,DIVISLAB,EQ,3463.6,3540.0,3567.7,3446.1,3543.05,3548.6,3511.81,1624774,570590086785000.0,112747,574719,0.35369999999999996,
2021-02-03,DIVISLAB,EQ,3548.6,3590.0,3716.9,3561.25,3714.0,3680.25,3660.8,1693164,619833059675000.0,108408,519260,0.30670000000000003,
2021-02-04,DIVISLAB,EQ,3680.25,3713.95,3724.75,3651.0,3671.8,3678.9,3676.32,908879,334133039315000.0,62757,302430,0.33280000000000004,
2021-02-05,DIVISLAB,EQ,3678.9,3699.0,3859.8,3665.05,3853.0,3822.45,3768.75,2152555,811245220865000.0,127248,698423,0.3245,
2021-02-08,DIVISLAB,EQ,3822.45,3799.0,3888.0,3650.0,3783.05,3781.85,3790.16,2744564,1040233534879999.9,154000,771841,0.2812,
2021-02-09,DIVISLAB,EQ,3781.85,3783.05,3841.25,3705.05,3732.5,3722.75,3786.09,1319497,499572926164999.94,76571,413043,0.313,
2021-02-10,DIVISLAB,EQ,3722.75,3740.0,3760.0,3675.4,3745.0,3750.35,3723.31,953446,354997879680000.0,55676,309134,0.32420000000000004,
2021-02-11,DIVISLAB,EQ,3750.35,3719.6,3764.7,3712.0,3760.0,3753.85,3736.16,422563,157876483090000.0,34905,169603,0.40140000000000003,
2021-02-12,DIVISLAB,EQ,3753.85,3753.85,3753.85,3695.15,3717.85,3719.4,3724.49,561226,209028086085000.0,36639,168685,0.3006,
2021-02-15,DIVISLAB,EQ,3719.4,3721.0,3749.75,3702.0,3707.6,3711.05,3724.06,426787,158937931925000.0,32349,137564,0.3223,
2021-02-16,DIVISLAB,EQ,3711.05,3711.05,3719.45,3666.0,3675.0,3686.5,3690.73,392393,144821545395000.0,29664,94255,0.2402,
2021-02-17,DIVISLAB,EQ,3686.5,3672.0,3675.0,3590.0,3595.0,3615.25,3634.73,691346,251285820700000.0,47824,263698,0.3814,
2021-02-18,DIVISLAB,EQ,3615.25,3596.0,3648.0,3573.0,3591.0,3587.65,3609.74,884937,319439003040000.0,54963,413206,0.4669,
2021-02-19,DIVISLAB,EQ,3587.65,3588.0,3605.0,3490.0,3534.0,3523.2,3544.81,745416,264235857725000.0,51637,248985,0.334,
2021-02-22,DIVISLAB,EQ,3523.2,3510.0,3563.0,3475.0,3479.25,3496.65,3519.26,846786,298005683935000.0,70420,277587,0.32780000000000004,
2021-02-23,DIVISLAB,EQ,3496.65,3485.0,3519.0,3440.85,3445.0,3448.25,3467.84,511326,177319840995000.0,47559,165046,0.32280000000000003,
2021-02-24,DIVISLAB,EQ,3448.25,3496.9,3509.8,3412.4,3481.0,3480.05,3473.09,409153,142102319195000.0,34143,183567,0.4487,
2021-02-25,DIVISLAB,EQ,3480.05,3477.25,3513.5,3432.0,3436.4,3440.05,3468.7,876984,304199656525000.0,66357,471003,0.5371,
2021-02-26,DIVISLAB,EQ,3440.05,3419.5,3485.9,3326.4,3364.0,3363.1,3397.5,1701176,577974300975000.0,103872,950437,0.5587,
2021-03-01,DIVISLAB,EQ,3363.1,3396.7,3485.0,3381.35,3475.0,3461.55,3429.54,660836,226636084805000.03,58564,277342,0.4197,
2021-03-02,DIVISLAB,EQ,3461.55,3470.0,3521.95,3455.5,3518.25,3516.9,3487.18,724413,252616063325000.0,52824,304313,0.4201,
2021-03-03,DIVISLAB,EQ,3516.9,3560.0,3573.2,3500.55,3560.1,3565.15,3542.37,725617,257040033565000.0,36533,318347,0.4387,
