Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble,44_obs_for_SMA
2021-01-01,GRASIM,EQ,927.85,924.5,938.0,920.25,932.95,933.4,929.67,1151605,107061688330000.0,23247,208640,0.1812,
2021-01-04,GRASIM,EQ,933.4,937.15,967.0,937.15,963.0,964.45,953.81,2667535,254430997350000.0,48114,466119,0.1747,
2021-01-05,GRASIM,EQ,964.45,955.0,971.95,946.95,960.5,961.3,959.2,1511818,145013760985000.0,33765,411672,0.2723,
2021-01-06,GRASIM,EQ,961.3,960.0,989.5,955.05,985.85,984.6,973.18,2162883,210486694485000.0,46754,511511,0.2365,
2021-01-07,GRASIM,EQ,984.6,990.0,1004.65,977.2,991.95,993.85,992.26,1888940,187432226995000.0,46601,318507,0.1686,
2021-01-08,GRASIM,EQ,993.85,999.65,1023.85,992.1,1000.65,1004.3,1009.22,2381402,240336914240000.0,44294,1049624,0.44079999999999997,
2021-01-11,GRASIM,EQ,1004.3,999.35,1012.3,994.45,1003.05,1004.3,1004.62,1249633,125541193015000.02,39738,305518,0.2445,
2021-01-12,GRASIM,EQ,1004.3,1005.8,1020.6,997.7,1010.2,1010.3,1011.27,1551157,156864027750000.0,37380,274574,0.177,
2021-01-13,GRASIM,EQ,1010.3,1009.0,1041.0,1007.45,1031.8,1033.35,1023.55,2205417,225734445330000.03,42509,490583,0.2224,
2021-01-14,GRASIM,EQ,1033.35,1035.0,1040.95,1013.3,1015.1,1020.25,1023.26,1522045,155744560260000.0,41926,515022,0.33840000000000003,
2021-01-15,GRASIM,EQ,1020.25,1015.1,1039.3,1001.6,1033.7,1033.05,1019.35,2026203,206540503865000.0,47048,448316,0.2213,
2021-01-18,GRASIM,EQ,1033.05,1023.0,1029.55,990.85,994.85,999.2,1007.06,1847393,186044193520000.0,56469,732419,0.3965,
2021-01-19,GRASIM,EQ,999.2,1002.0,1052.5,1002.0,1032.0,1031.9,1037.55,4059040,421145252950000.0,98799,438381,0.10800000000000001,
2021-01-20,GRASIM,EQ,1031.9,1028.0,1038.5,1014.8,1028.9,1034.7,1025.45,1528763,156767240750000.0,52762,274338,0.1795,
2021-01-21,GRASIM,EQ,1034.7,1036.0,1046.95,1012.5,1022.3,1017.1,1031.15,1268212,130771283640000.02,36055,289626,0.2284,
2021-01-22,GRASIM,EQ,1017.1,1022.3,1030.75,1000.0,1001.25,1004.0,1012.76,1029795,104293023235000.0,31591,226728,0.2202,
2021-01-25,GRASIM,EQ,1004.0,1025.0,1114.65,1017.0,1062.9,1069.75,1075.06,15344078,1649578806185000.0,316677,2533281,0.16510000000000002,
2021-01-27,GRASIM,EQ,1069.75,1063.95,1114.35,1051.05,1060.0,1061.55,1081.88,6620990,716310910645000.0,162403,1374551,0.2076,
2021-01-28,GRASIM,EQ,1061.55,1040.5,1076.0,1038.55,1065.2,1067.4,1056.09,2834260,299322787245000.0,78641,595069,0.21,
2021-01-29,GRASIM,EQ,1067.4,1062.6,1094.0,1048.45,1062.0,1055.65,1073.2,3822191,410197907255000.0,94386,901484,0.2359,
2021-02-01,GRASIM,EQ,1055.65,1060.0,1130.8,1047.35,1130.5,1125.65,1092.85,2099126,229402238750000.0,60712,516469,0.24600000000000002,
2021-02-02,GRASIM,EQ,1125.65,1144.0,1209.9,1136.45,1190.0,1190.0,1182.6,4122906,487573411905000.0,104344,931805,0.226,
2021-02-03,GRASIM,EQ,1190.0,1178.1,1205.5,1172.25,1180.1,1190.85,1191.92,2427085,289289926620000.0,64409,652566,0.26890000000000003,
2021-02-04,GRASIM,EQ,1190.85,1180.0,1217.45,1171.05,1187.0,1188.5,1196.31,2659290,318132649620000.0,68786,898093,0.33770000000000006,
2021-02-05,GRASIM,EQ,1188.5,1188.5,1208.8,1173.0,1185.8,1186.1,1188.23,1636133,194410198100000.0,58845,371641,0.22710000000000002,
2021-02-08,GRASIM,EQ,1186.1,1186.0,1220.0,1185.0,1213.0,1210.8,1206.34,1955804,235935700885000.0,46930,580951,0.297,
2021-02-09,GRASIM,EQ,1210.8,1210.0,1226.5,1204.0,1221.0,1217.95,1216.57,1727089,210112812920000.0,48558,520365,0.3013,
2021-02-10,GRASIM,EQ,1217.95,1216.0,1249.0,1216.0,1231.0,1231.4,1236.38,3264009,403554973420000.0,97031,684843,0.20980000000000001,
2021-02-11,GRASIM,EQ,1231.4,1223.0,1244.8,1221.6,1236.7,1235.45,1235.73,1216492,150325884190000.0,35414,363779,0.299,
2021-02-12,GRASIM,EQ,1235.45,1244.0,1254.8,1221.05,1239.75,1242.1,1242.85,3421387,425226287310000.0,106772,612692,0.1791,
2021-02-15,GRASIM,EQ,1242.1,1257.05,1258.6,1216.75,1234.4,1227.95,1229.51,1914247,235357939790000.0,46416,416011,0.21730000000000002,
2021-02-16,GRASIM,EQ,1227.95,1234.4,1257.0,1225.6,1242.0,1243.75,1242.39,1561647,194016771905000.0,37314,404597,0.2591,
2021-02-17,GRASIM,EQ,1243.75,1228.1,1249.0,1228.0,1237.9,1238.45,1237.98,1048606,129815283030000.0,25875,338141,0.3225,
2021-02-18,GRASIM,EQ,1238.45,1238.45,1247.65,1213.0,1225.65,1229.65,1230.53,1536486,189069872920000.0,36237,526316,0.3425,
2021-02-19,GRASIM,EQ,1229.65,1231.75,1239.7,1210.0,1221.5,1218.0,1224.62,1314508,160977063360000.0,32796,359141,0.2732,
2021-02-22,GRASIM,EQ,1218.0,1221.5,1235.0,1215.0,1226.0,1230.5,1225.67,1128617,138331054715000.02,28087,300674,0.2664,
2021-02-23,GRASIM,EQ,1230.5,1239.0,1249.9,1221.6,1229.0,1231.5,1232.63,1434663,176840334630000.0,48980,319981,0.223,
2021-02-24,GRASIM,EQ,1231.5,1239.0,1257.0,1231.25,1255.7,1250.2,1243.1,441927,54936036650000.0,17626,124749,0.2823,
2021-02-25,GRASIM,EQ,1250.2,1258.0,1289.0,1254.0,1271.65,1270.45,1270.41,1942025,246715887585000.0,61246,558617,0.2876,
2021-02-26,GRASIM,EQ,1270.45,1255.0,1270.0,1190.85,1200.0,1200.8,1222.95,2798547,342249077825000.0,62177,1344332,0.4804,
2021-03-01,GRASIM,EQ,1200.8,1206.95,1270.0,1202.2,1270.0,1265.95,1247.63,1601364,199790994530000.0,40467,283557,0.1771,
2021-03-02,GRASIM,EQ,1265.95,1275.0,1298.5,1261.0,1295.8,1294.75,1283.66,1954073,250836801140000.0,61337,732412,0.37479999999999997,
2021-03-03,GRASIM,EQ,1294.75,1299.0,1343.0,1290.0,1316.0,1318.1,1321.19,2243838,296453105420000.0,61220,789640,0.3519,
2021-03-04,GRASIM,EQ,1318.1,1306.0,1360.0,1300.5,1353.1,1350.4,1336.27,1950846,260684801240000.0,51877,664533,0.3406,1133.4920454545454
2021-03-05,GRASIM,EQ,1350.4,1348.8,1371.7,1324.0,1335.5,1339.35,1340.1,2714173,363725189085000.0,75522,1286867,0.47409999999999997,1142.7181818181816
2021-03-08,GRASIM,EQ,1339.35,1339.95,1367.7,1331.55,1344.0,1344.25,1349.72,1400679,189052295075000.0,43599,453295,0.3236,1151.35
2021-03-09,GRASIM,EQ,1344.25,1382.0,1408.0,1361.05,1367.05,1366.35,1383.06,5078891,702442960090000.0,130348,1506761,0.2967,1160.5556818181815
2021-03-10,GRASIM,EQ,1366.35,1378.0,1389.35,1360.0,1388.9,1385.05,1375.02,1085941,149318954935000.0,40642,338624,0.3118,1169.6568181818182
2021-03-12,GRASIM,EQ,1385.05,1395.0,1404.95,1375.0,1375.8,1379.5,1390.11,1206112,167663286710000.0,42988,545299,0.4521,1178.4215909090908
2021-03-15,GRASIM,EQ,1379.5,1389.0,1391.9,1347.0,1379.9,1384.1,1369.67,970925,132984638345000.0,28835,287053,0.2956,1187.0534090909089
2021-03-16,GRASIM,EQ,1384.1,1380.1,1397.75,1375.9,1389.0,1384.5,1387.19,1176583,163214014500000.0,30612,421770,0.35850000000000004,1195.6943181818178
2021-03-17,GRASIM,EQ,1384.5,1382.6,1394.9,1361.3,1368.9,1367.1,1371.59,1005552,137920155655000.0,29134,463121,0.4606,1203.8034090909086
